Town,State,County
Preston,MN,Fillmore
Pine River,MN,Cass
Fergus Falls,MN,Otter Tail
Shorewood,MN,Hennepin
Fairfax,MN,Renville
Baxter,MN,Crow Wing
Franklin,MN,Renville
Ponsford,MN,NULL
Padua,MN,NULL
Madison Lake,MN,Blue Earth
Apple Valley,MN,Dakota
Willow River,MN,Pine
Brainerd,MN,Crow Wing
Roseau,MN,Roseau
Rochester,MN,Olmsted
Akeley,MN,Hubbard
Fairmont,MN,Martin
Zumbro Falls,MN,Wabasha
Hayfield,MN,Dodge
Atwater,MN,Kandiyohi
Lindstrom,MN,Chisago
Hackensack,MN,Cass
New Germany,MN,Carver
Blomkest,MN,Kandiyohi
Carver,MN,Carver
Grand Rapids,MN,Itasca
Taunton,MN,Lyon
Waverly,MN,Wright
New London,MN,Kandiyohi
Esko,MN,Carlton
Brooklyn Center,MN,Hennepin
Plymouth,MN,Hennepin
Lake Park,MN,Becker
Grand Meadow,MN,Mower
Victoria,MN,Carver
Lake George,MN,Hubbard
Gotha,MN,NULL
Chisago City,MN,Chisago
Lewiston,MN,Winona
Ely,MN,St. Louis
Caledonia,MN,Houston
Ostrander,MN,Fillmore
Dennison,MN,Goodhue
Wright,MN,Carlton
Stillwater,MN,Washington
Grey Cloud Island,MN,NULL
Lutsen,MN,Cook
Saint Louis Park,MN,NULL
Falcon Heights,MN,Ramsey
Deerwood,MN,Crow Wing
Jeffers,MN,Cottonwood
Andover,MN,Anoka
Sturgeon Lake,MN,Pine
Minneota,MN,Lyon
Slayton,MN,Murray
Angangueo,MN,NULL
Puposky,MN,NULL
Cannon Falls,MN,Goodhue
Miesville,MN,Dakota
Bird Island,MN,Renville
Sauk Centre,MN,Stearns
Two Harbors,MN,Lake
Albert Lea,MN,Freeborn
Webster,MN,NULL
Bemidji,MN,Beltrami
North Mankato,MN,Nicollet
Viking,MN,Marshall
Elko New Market,MN,Scott
Blackduck,MN,Beltrami
Pipestone,MN,Pipestone
Westbrook,MN,Cottonwood
Montrose,MN,Wright
Saint Michael,MN,NULL
Litchfield,MN,Meeker
Cedar,MN,NULL
Deephaven,MN,Hennepin
Albertville,MN,Wright
Verndale,MN,Wadena
Sandstone,MN,Pine
Richmond,MN,Stearns
Brooks,MN,Red Lake
Lake Crystal,MN,Blue Earth
Lino Lakes,MN,Anoka
Barnum,MN,Carlton
East Valley Township,MN,NULL
Little Falls,MN,Morrison
Lonsdale,MN,Rice
Bloomington,MN,Hennepin
Virginia,MN,St. Louis
Shakopee,MN,Scott
West Saint Paul,MN,NULL
Kasson,MN,Dodge
New Brighton,MN,Ramsey
St Charles,MN,NULL
Holland,MN,Pipestone
Manley,MN,NULL
Winona,MN,Winona
